src_ip,dest_ip,dest_port,dest_port_weight
149.254.197.200,187.10.193.43,4599,100
149.254.197.200,149.254.197.36,8854,100
149.254.197.200,149.254.197.36,58690,100
149.254.197.46,149.254.197.247,59545,100
149.254.197.46,149.254.197.165,11469,100
120.130.163.41,149.254.197.36,31520,100
120.130.163.41,149.254.197.36,23912,100
120.130.163.61,149.254.197.36,1058,100
120.130.163.61,149.254.197.36,55232,100
120.130.163.54,149.254.197.36,61647,100
120.130.163.54,149.254.197.36,16759,100
120.130.163.232,149.254.197.36,53345,100
120.130.163.232,149.254.197.36,52922,100
120.130.163.47,149.254.197.36,14874,100
120.130.163.24,149.254.197.36,3954,100
120.130.163.24,149.254.197.36,30282,100
120.130.163.246,149.254.197.36,31838,100
120.130.163.246,149.254.197.36,6754,100
120.130.163.38,149.254.197.36,7463,100
120.130.163.38,149.254.197.36,38311,100
120.130.163.48,149.254.197.36,43453,100
120.130.163.48,149.254.197.36,10725,100
120.130.163.69,149.254.197.36,34748,100
120.130.163.69,149.254.197.36,63629,100
120.130.163.18,149.254.197.80,14444,100
120.130.163.18,149.254.197.36,17572,100
120.130.163.18,149.254.197.36,20460,100
120.130.163.14,149.254.197.36,6904,100
120.130.163.14,149.254.197.36,22469,100
120.130.163.91,149.254.197.36,39314,100
120.130.163.91,149.254.197.36,49115,100
120.130.163.207,149.254.197.36,44451,100
120.130.163.207,149.254.197.36,36044,100
120.130.163.222,149.254.197.36,50404,100
120.130.163.4,149.254.197.36,51229,100
120.130.163.146,149.254.197.36,1408,100
120.130.163.65,149.254.197.36,1781,100
120.130.163.211,149.254.197.36,63891,100
120.130.163.211,149.254.197.36,44032,100
120.130.163.0,149.254.197.36,43569,100
120.130.163.220,149.254.197.36,19919,100
120.130.163.108,149.254.197.36,44408,100
120.130.163.238,149.254.197.36,51706,100
120.130.163.217,149.254.197.36,23861,100
120.130.163.71,149.254.197.36,27214,100
120.130.163.82,149.254.197.36,64472,100
120.130.163.187,149.254.197.36,33652,100
120.130.163.237,149.254.197.36,9247,100
120.130.163.49,149.254.197.36,40190,100
120.130.163.199,149.254.197.36,42457,100
120.130.163.116,149.254.197.36,46554,100
120.130.163.246,149.254.197.36,20149,100
120.130.163.120,149.254.197.36,11791,100
120.130.163.214,149.254.197.200,60276,100
120.130.163.214,149.254.197.219,7069,100
120.130.163.214,187.10.193.189,28295,100
120.130.163.214,187.10.193.189,50006,100
120.130.163.214,187.10.193.238,55149,100
120.130.163.214,187.10.193.238,22960,100
120.130.163.214,149.254.197.36,51964,100
120.130.163.214,149.254.197.36,21851,100
120.130.163.98,149.254.197.224,3771,100
120.130.163.98,149.254.197.75,47676,100
120.130.163.98,149.254.197.181,46179,100
120.130.163.98,149.254.197.200,13872,100
120.130.163.98,149.254.197.219,47036,100
120.130.163.98,187.10.193.189,60347,100
120.130.163.98,187.10.193.189,58805,100
120.130.163.98,187.10.193.189,49795,100
120.130.163.98,187.10.193.238,54327,100
120.130.163.98,187.10.193.238,4222,100
120.130.163.98,187.10.193.238,49562,100
120.130.163.98,149.254.197.36,38372,100
120.130.163.98,149.254.197.36,14843,100
120.130.163.99,149.254.197.36,1515,100
120.130.163.99,149.254.197.36,46542,100
120.130.163.99,149.254.197.128,18710,100
120.130.163.129,187.10.193.124,2096,100
120.130.163.129,149.254.197.36,24980,100
120.130.163.129,149.254.197.36,17397,100
120.130.163.129,149.254.197.128,3140,100
120.130.163.11,149.254.197.36,51424,100
120.130.163.11,149.254.197.36,53317,100
120.130.163.198,149.254.197.36,18144,100
120.130.163.198,149.254.197.36,48650,100
120.130.163.194,149.254.197.36,45956,100
120.130.163.194,149.254.197.36,53911,100
149.254.197.160,149.254.197.46,17743,100
149.254.197.160,149.254.197.105,6328,100
149.254.197.160,149.254.197.138,55616,100
149.254.197.160,149.254.197.178,22996,100
149.254.197.160,149.254.197.176,4321,100
149.254.197.130,120.130.163.38,36039,100
149.254.197.63,120.130.163.38,40852,100
149.254.197.24,120.130.163.38,52606,100
149.254.197.102,120.130.163.38,55106,100
149.254.197.21,120.130.163.38,14873,100
149.254.197.50,149.254.197.36,47630,100
149.254.197.71,149.254.197.121,34439,100
149.254.197.236,149.254.197.121,26490,100
149.254.197.250,149.254.197.50,31894,100
149.254.197.250,149.254.197.50,3668,10
149.254.197.250,149.254.197.120,63016,100
149.254.197.214,149.254.197.73,59411,10
149.254.197.14,149.254.197.73,8475,10
149.254.197.235,149.254.197.73,56736,10
149.254.197.19,149.254.197.73,27119,10
149.254.197.119,149.254.197.73,17299,10
149.254.197.39,149.254.197.73,9735,10
149.254.197.219,149.254.197.73,25679,10
149.254.197.187,149.254.197.73,51677,10
149.254.197.119,149.254.197.73,1939,10
149.254.197.214,149.254.197.73,54889,10
149.254.197.43,149.254.197.36,59262,100
149.254.197.67,149.254.197.36,19900,100
149.254.197.83,149.254.197.36,32100,100
149.254.197.110,149.254.197.36,12253,100
149.254.197.22,149.254.197.36,3609,100
149.254.197.216,149.254.197.36,13077,100
149.254.197.160,149.254.197.36,19289,100
149.254.197.158,149.254.197.36,46998,100
149.254.197.13,149.254.197.36,48606,100
149.254.197.97,149.254.197.36,56737,100
149.254.197.45,149.254.197.36,15068,100
149.254.197.239,149.254.197.36,63586,100
149.254.197.39,149.254.197.94,45945,100
149.254.197.39,149.254.197.121,38861,100
149.254.197.195,149.254.197.36,14873,100
149.254.197.234,149.254.197.36,24029,100
149.254.197.48,149.254.197.36,34733,100
149.254.197.221,149.254.197.36,11966,100
149.254.197.146,149.254.197.36,4657,100
149.254.197.64,149.254.197.36,20551,100
149.254.197.10,149.254.197.145,56315,10
149.254.197.48,149.254.197.247,2699,100
149.254.197.207,149.254.197.247,24175,100
149.254.197.249,149.254.197.172,53259,100
149.254.197.249,149.254.197.175,16801,100
149.254.197.73,149.254.197.175,33422,100
149.254.197.215,149.254.197.107,8205,100
149.254.197.217,149.254.197.29,38765,100
149.254.197.247,149.254.197.29,23344,100
149.254.197.83,149.254.197.89,41410,100
149.254.197.24,149.254.197.36,21487,100
149.254.197.87,149.254.197.36,22921,100
149.254.197.73,149.254.197.36,1839,100
149.254.197.207,149.254.197.36,6401,100
149.254.197.207,149.254.197.36,24689,100
149.254.197.105,149.254.197.229,3219,10
149.254.197.61,149.254.197.117,34507,100
149.254.197.61,149.254.197.117,34807,10
149.254.197.239,149.254.197.145,14299,100
149.254.197.239,149.254.197.145,3496,100
149.254.197.239,149.254.197.145,55185,100
149.254.197.239,149.254.197.145,6427,100
149.254.197.239,149.254.197.145,29756,100
149.254.197.239,149.254.197.145,9000,100
149.254.197.239,149.254.197.145,39839,100
149.254.197.239,149.254.197.145,2931,100
149.254.197.239,149.254.197.145,19225,100
149.254.197.239,149.254.197.145,37864,100
149.254.197.239,149.254.197.145,61115,100
149.254.197.239,149.254.197.145,33071,100
149.254.197.239,149.254.197.145,21570,100
149.254.197.239,149.254.197.145,49124,100
149.254.197.239,149.254.197.145,31820,100
149.254.197.239,149.254.197.145,50727,100
149.254.197.239,149.254.197.145,2375,100
149.254.197.239,149.254.197.145,64233,100
149.254.197.239,149.254.197.145,6462,100
149.254.197.239,149.254.197.145,49127,100
149.254.197.239,149.254.197.145,43770,100
149.254.197.239,149.254.197.145,28089,100
149.254.197.239,149.254.197.145,29460,100
149.254.197.239,149.254.197.145,11955,100
149.254.197.239,149.254.197.145,25822,100
149.254.197.239,149.254.197.145,39255,100
149.254.197.239,149.254.197.145,24549,100
149.254.197.239,149.254.197.145,64816,100
149.254.197.239,149.254.197.145,25212,100
149.254.197.239,149.254.197.145,53132,100
149.254.197.239,149.254.197.145,35020,100
149.254.197.239,149.254.197.145,51803,100
149.254.197.239,149.254.197.145,40658,100
149.254.197.239,149.254.197.145,47097,100
149.254.197.239,149.254.197.145,57581,100
149.254.197.239,149.254.197.145,65060,100
149.254.197.239,149.254.197.145,11704,100
149.254.197.239,149.254.197.145,57723,100
149.254.197.239,149.254.197.145,20689,100
149.254.197.239,149.254.197.145,14735,100
149.254.197.239,149.254.197.145,28592,100
149.254.197.239,149.254.197.145,14428,100
149.254.197.239,149.254.197.145,49194,100
149.254.197.239,149.254.197.145,54853,100
149.254.197.239,149.254.197.145,15727,100
149.254.197.239,149.254.197.145,38183,100
149.254.197.239,149.254.197.145,64433,100
149.254.197.239,149.254.197.145,41314,100
149.254.197.239,149.254.197.145,23731,100
149.254.197.239,149.254.197.145,26854,100
149.254.197.239,149.254.197.145,26321,100
149.254.197.239,149.254.197.145,40675,100
149.254.197.239,149.254.197.145,51604,100
149.254.197.239,149.254.197.145,56419,100
149.254.197.239,149.254.197.145,49415,100
149.254.197.239,149.254.197.145,16697,100
149.254.197.239,149.254.197.145,52637,100
149.254.197.239,149.254.197.145,3537,100
149.254.197.239,149.254.197.145,34238,100
149.254.197.239,149.254.197.145,18104,100
149.254.197.239,149.254.197.145,20111,100
149.254.197.239,149.254.197.145,18212,100
149.254.197.239,149.254.197.145,51792,100
149.254.197.239,149.254.197.145,44570,100
149.254.197.239,149.254.197.145,60151,100
149.254.197.239,149.254.197.145,29792,100
149.254.197.239,149.254.197.145,43256,100
149.254.197.239,149.254.197.145,39956,100
149.254.197.239,149.254.197.145,18361,100
149.254.197.239,149.254.197.145,11958,100
149.254.197.239,149.254.197.145,54891,100
149.254.197.239,149.254.197.145,58995,100
149.254.197.239,149.254.197.145,53775,100
149.254.197.239,149.254.197.145,7269,100
149.254.197.239,149.254.197.145,4579,100
149.254.197.239,149.254.197.145,25045,100
149.254.197.239,149.254.197.145,37466,100
149.254.197.239,149.254.197.145,4681,100
149.254.197.239,149.254.197.145,53376,100
149.254.197.239,149.254.197.145,34028,100
149.254.197.239,149.254.197.145,43434,100
149.254.197.239,149.254.197.145,16525,100
149.254.197.239,149.254.197.145,44666,100
149.254.197.239,149.254.197.145,27033,100
149.254.197.239,149.254.197.145,3032,100
149.254.197.239,149.254.197.145,39297,100
149.254.197.239,149.254.197.145,42663,100
149.254.197.239,149.254.197.145,52862,100
149.254.197.239,149.254.197.145,51755,100
149.254.197.239,149.254.197.145,48440,100
149.254.197.239,149.254.197.145,6386,100
149.254.197.239,149.254.197.145,52599,100
149.254.197.239,149.254.197.145,15771,100
149.254.197.239,149.254.197.145,35488,100
149.254.197.239,149.254.197.145,38750,100
149.254.197.239,149.254.197.145,58235,100
149.254.197.239,149.254.197.145,26556,100
149.254.197.239,149.254.197.145,39665,100
149.254.197.65,149.254.197.36,58930,100
149.254.197.49,149.254.197.36,53400,100
149.254.197.141,149.254.197.36,16508,100
149.254.197.149,149.254.197.36,46771,100
149.254.197.173,149.254.197.36,63606,100
149.254.197.126,149.254.197.36,53189,100
149.254.197.228,149.254.197.36,49981,100
149.254.197.174,149.254.197.29,52090,100
149.254.197.165,149.254.197.160,43935,100
149.254.197.68,149.254.197.36,25718,100
149.254.197.235,149.254.197.36,62293,100
149.254.197.41,149.254.197.36,2893,100
149.254.197.48,149.254.197.36,17454,100
149.254.197.32,149.254.197.247,38329,100
149.254.197.209,149.254.197.36,44859,100
149.254.197.207,149.254.197.117,31385,100
149.254.197.207,149.254.197.117,47515,10
149.254.197.119,149.254.197.50,17747,10
149.254.197.119,149.254.197.120,13080,100
149.254.197.119,149.254.197.108,60878,100
149.254.197.83,120.130.163.214,61721,100
149.254.197.83,120.130.163.98,34571,100
149.254.197.83,120.130.163.11,18982,100
149.254.197.83,120.130.163.198,49698,100
149.254.197.124,149.254.197.181,34107,100
149.254.197.10,149.254.197.181,51513,100
149.254.197.5,149.254.197.181,38872,100
149.254.197.114,149.254.197.181,39517,100
149.254.197.44,149.254.197.94,54533,100
149.254.197.90,149.254.197.94,60880,100
149.254.197.124,149.254.197.94,59629,100
149.254.197.205,149.254.197.94,28341,100
149.254.197.93,149.254.197.162,36476,100
149.254.197.93,149.254.197.162,7247,100
149.254.197.93,149.254.197.61,36612,100
149.254.197.93,149.254.197.61,10836,100
149.254.197.93,149.254.197.111,57680,100
149.254.197.93,149.254.197.111,39069,100
149.254.197.93,149.254.197.36,24123,100
149.254.197.84,149.254.197.249,22491,10
149.254.197.84,149.254.197.40,52286,10
149.254.197.47,149.254.197.97,45004,10
149.254.197.47,149.254.197.106,47531,10
149.254.197.47,149.254.197.246,54444,10
149.254.197.47,149.254.197.232,53944,10
149.254.197.207,149.254.197.78,32376,100
149.254.197.207,149.254.197.78,40968,10
149.254.197.207,149.254.197.10,9393,100
149.254.197.207,149.254.197.10,28624,10
149.254.197.207,149.254.197.109,38328,100
149.254.197.207,149.254.197.109,25665,10
149.254.197.207,149.254.197.189,20066,100
149.254.197.207,149.254.197.189,11575,10
149.254.197.207,149.254.197.249,45706,100
149.254.197.207,149.254.197.249,5725,10
149.254.197.207,149.254.197.5,32161,100
149.254.197.207,149.254.197.5,26073,10
149.254.197.207,149.254.197.61,13655,100
149.254.197.207,149.254.197.61,41745,10
149.254.197.207,149.254.197.203,3566,100
149.254.197.207,149.254.197.203,56867,10
149.254.197.207,149.254.197.36,10469,100
149.254.197.207,149.254.197.36,52679,10
149.254.197.207,149.254.197.12,35019,100
149.254.197.207,149.254.197.12,35555,10
149.254.197.207,149.254.197.207,62488,100
149.254.197.207,149.254.197.207,19207,10
149.254.197.207,149.254.197.204,49488,100
149.254.197.207,149.254.197.204,35434,10
149.254.197.207,149.254.197.207,62533,100
149.254.197.207,149.254.197.207,47613,10
149.254.197.243,149.254.197.94,45459,100
149.254.197.243,149.254.197.121,41304,100
149.254.197.159,149.254.197.94,17461,100
149.254.197.159,149.254.197.121,53606,100
149.254.197.243,149.254.197.94,33377,100
149.254.197.243,149.254.197.121,17674,100
149.254.197.248,149.254.197.52,46779,100
149.254.197.248,149.254.197.7,20804,100
149.254.197.194,149.254.197.94,41563,100
149.254.197.194,149.254.197.121,42922,100
149.254.197.171,149.254.197.94,23453,100
149.254.197.171,149.254.197.121,11078,100
149.254.197.71,149.254.197.94,24729,100
149.254.197.71,149.254.197.121,10824,100
149.254.197.51,149.254.197.94,15020,100
149.254.197.51,149.254.197.121,4657,100
149.254.197.176,149.254.197.94,36476,100
149.254.197.188,149.254.197.94,40246,100
149.254.197.188,149.254.197.121,31433,100
149.254.197.6,149.254.197.187,54516,100
149.254.197.6,149.254.197.86,9039,100
149.254.197.6,149.254.197.126,17061,100
149.254.197.6,149.254.197.90,40509,100
149.254.197.6,149.254.197.181,64877,100
149.254.197.6,149.254.197.249,59360,100
149.254.197.6,149.254.197.43,16002,100
149.254.197.6,149.254.197.199,17463,100
149.254.197.6,149.254.197.96,29834,100
149.254.197.6,149.254.197.179,27321,100
149.254.197.6,149.254.197.42,30040,100
149.254.197.6,149.254.197.123,39676,100
149.254.197.6,149.254.197.244,51183,100
149.254.197.6,149.254.197.57,41350,100
149.254.197.6,149.254.197.203,40740,100
149.254.197.6,149.254.197.175,60634,100
149.254.197.6,149.254.197.186,56261,100
149.254.197.6,149.254.197.72,34960,100
149.254.197.6,149.254.197.221,17399,100
149.254.197.6,149.254.197.216,48030,100
149.254.197.6,149.254.197.179,39052,100
149.254.197.6,149.254.197.5,10756,100
149.254.197.6,149.254.197.77,53546,100
149.254.197.6,149.254.197.185,51080,100
149.254.197.6,149.254.197.186,30872,100
149.254.197.6,149.254.197.253,10997,100
149.254.197.6,149.254.197.70,5797,100
149.254.197.6,149.254.197.47,38732,100
149.254.197.6,149.254.197.154,24486,100
149.254.197.6,149.254.197.19,47719,100
149.254.197.6,149.254.197.237,9796,100
149.254.197.6,149.254.197.214,49639,100
149.254.197.6,149.254.197.25,56636,100
149.254.197.6,149.254.197.162,2423,100
149.254.197.6,149.254.197.49,52273,100
149.254.197.6,149.254.197.54,55337,100
149.254.197.6,149.254.197.41,10793,100
149.254.197.6,149.254.197.23,63102,100
149.254.197.6,149.254.197.72,40498,100
149.254.197.6,149.254.197.189,1822,100
149.254.197.6,149.254.197.125,50426,100
149.254.197.6,149.254.197.21,53777,100
149.254.197.6,149.254.197.102,9864,100
149.254.197.6,149.254.197.98,29992,100
149.254.197.6,149.254.197.90,62185,100
149.254.197.6,149.254.197.244,2722,100
149.254.197.6,149.254.197.54,9122,100
149.254.197.6,149.254.197.53,44884,100
149.254.197.6,149.254.197.63,42265,100
149.254.197.6,149.254.197.130,13769,100
149.254.197.6,149.254.197.119,7564,100
149.254.197.6,149.254.197.151,53167,100
149.254.197.6,149.254.197.196,60081,100
149.254.197.6,149.254.197.136,50968,100
149.254.197.6,149.254.197.180,60649,100
149.254.197.6,149.254.197.227,35479,100
149.254.197.6,149.254.197.122,47790,100
149.254.197.6,149.254.197.154,29117,100
149.254.197.6,149.254.197.39,47891,100
149.254.197.6,149.254.197.113,43027,100
149.254.197.6,149.254.197.169,43095,100
149.254.197.6,149.254.197.147,26396,100
149.254.197.6,149.254.197.102,17097,100
149.254.197.6,149.254.197.208,17660,100
149.254.197.6,149.254.197.104,24503,100
149.254.197.6,149.254.197.209,39325,100
149.254.197.6,149.254.197.3,43585,100
149.254.197.6,149.254.197.56,42285,100
149.254.197.6,149.254.197.152,3479,100
149.254.197.6,149.254.197.254,2415,100
149.254.197.6,149.254.197.197,37271,100
149.254.197.6,149.254.197.48,25598,100
149.254.197.6,149.254.197.72,54989,100
149.254.197.6,149.254.197.59,16728,100
149.254.197.6,149.254.197.251,23558,100
149.254.197.6,149.254.197.175,51923,100
149.254.197.6,149.254.197.144,55485,100
149.254.197.6,149.254.197.27,61423,100
149.254.197.6,149.254.197.71,55738,100
149.254.197.6,149.254.197.174,22407,100
149.254.197.6,149.254.197.140,40790,100
149.254.197.6,149.254.197.92,4731,100
149.254.197.6,149.254.197.181,19878,100
149.254.197.6,149.254.197.122,46846,100
149.254.197.6,149.254.197.144,37758,100
149.254.197.6,149.254.197.240,59153,100
149.254.197.6,149.254.197.30,13626,100
149.254.197.6,149.254.197.43,50084,100
149.254.197.6,149.254.197.32,41096,100
149.254.197.6,149.254.197.199,48257,100
149.254.197.6,149.254.197.36,29449,100
149.254.197.6,149.254.197.49,9169,100
149.254.197.6,149.254.197.24,17787,100
149.254.197.6,149.254.197.51,17620,100
149.254.197.6,149.254.197.133,14872,100
149.254.197.6,149.254.197.0,16277,100
149.254.197.6,149.254.197.124,27712,100
149.254.197.6,149.254.197.218,6123,100
149.254.197.6,149.254.197.83,40092,100
149.254.197.6,149.254.197.215,53235,100
149.254.197.6,149.254.197.186,1197,100
149.254.197.6,149.254.197.43,47844,100
149.254.197.6,149.254.197.221,1358,100
149.254.197.6,149.254.197.170,59134,100
149.254.197.6,149.254.197.77,31607,100
149.254.197.6,149.254.197.211,35177,100
149.254.197.6,149.254.197.153,56844,100
149.254.197.6,149.254.197.31,48863,100
149.254.197.6,149.254.197.28,35123,100
149.254.197.6,149.254.197.181,13285,100
149.254.197.6,149.254.197.64,5983,100
149.254.197.6,149.254.197.151,44077,100
149.254.197.6,149.254.197.56,47042,100
149.254.197.6,149.254.197.24,43208,100
149.254.197.6,149.254.197.93,43719,100
149.254.197.6,149.254.197.52,7245,100
149.254.197.6,149.254.197.20,35049,100
149.254.197.6,149.254.197.206,11650,100
149.254.197.6,149.254.197.91,20743,100
149.254.197.6,149.254.197.81,13741,100
149.254.197.6,149.254.197.5,37124,100
149.254.197.6,149.254.197.14,43617,100
149.254.197.6,149.254.197.25,52371,100
149.254.197.6,149.254.197.183,38580,100
149.254.197.6,149.254.197.193,2823,100
149.254.197.6,149.254.197.193,6422,100
149.254.197.6,149.254.197.28,40734,100
149.254.197.6,149.254.197.125,46607,100
149.254.197.6,149.254.197.145,55105,100
149.254.197.6,149.254.197.243,28688,100
149.254.197.6,149.254.197.69,60931,100
149.254.197.6,149.254.197.20,48071,100
149.254.197.6,149.254.197.41,19154,100
149.254.197.6,149.254.197.188,40526,100
149.254.197.6,149.254.197.191,38209,100
149.254.197.6,149.254.197.44,10587,100
149.254.197.6,149.254.197.171,37343,100
149.254.197.6,149.254.197.81,21933,100
149.254.197.6,149.254.197.231,48693,100
149.254.197.6,149.254.197.202,53929,100
149.254.197.6,149.254.197.53,40086,100
149.254.197.6,149.254.197.195,59854,100
149.254.197.6,149.254.197.220,15433,100
149.254.197.6,149.254.197.170,46267,100
149.254.197.6,149.254.197.183,59064,100
149.254.197.6,149.254.197.43,20748,100
149.254.197.6,149.254.197.111,54888,100
149.254.197.6,149.254.197.77,22879,100
149.254.197.6,149.254.197.225,22717,100
149.254.197.6,149.254.197.212,43084,100
149.254.197.6,149.254.197.206,45297,100
149.254.197.6,149.254.197.148,28944,100
149.254.197.6,149.254.197.55,47528,100
149.254.197.6,149.254.197.62,59786,100
149.254.197.6,149.254.197.141,13476,100
149.254.197.6,149.254.197.168,15053,100
149.254.197.6,149.254.197.57,26930,100
149.254.197.6,149.254.197.179,14634,100
149.254.197.6,149.254.197.83,47515,100
149.254.197.6,149.254.197.231,24810,100
149.254.197.6,149.254.197.90,51628,100
149.254.197.6,149.254.197.112,15334,100
149.254.197.6,149.254.197.6,50678,100
149.254.197.6,149.254.197.249,6966,100
149.254.197.6,149.254.197.86,24558,100
149.254.197.6,149.254.197.235,25441,100
149.254.197.6,149.254.197.206,60923,100
149.254.197.6,149.254.197.32,28745,100
149.254.197.6,149.254.197.8,65427,100
149.254.197.6,149.254.197.198,52069,100
149.254.197.6,149.254.197.165,28726,100
149.254.197.6,149.254.197.156,62158,100
149.254.197.6,149.254.197.199,49425,100
149.254.197.6,149.254.197.29,38395,100
149.254.197.6,149.254.197.242,60973,100
149.254.197.6,149.254.197.226,38181,100
149.254.197.6,149.254.197.42,29162,100
149.254.197.6,149.254.197.170,35891,100
149.254.197.6,149.254.197.16,54387,100
149.254.197.6,149.254.197.239,53827,100
149.254.197.6,149.254.197.168,26685,100
149.254.197.6,149.254.197.125,57016,100
149.254.197.6,149.254.197.173,48108,100
149.254.197.6,149.254.197.170,54765,100
149.254.197.6,149.254.197.25,10012,100
149.254.197.6,149.254.197.145,43340,100
149.254.197.6,149.254.197.217,58564,100
149.254.197.6,149.254.197.211,29099,100
149.254.197.6,149.254.197.99,33863,100
149.254.197.6,149.254.197.246,27869,100
149.254.197.6,149.254.197.45,23283,100
149.254.197.6,149.254.197.16,61084,100
149.254.197.6,149.254.197.73,30299,100
149.254.197.6,149.254.197.188,20119,100
149.254.197.6,149.254.197.235,4092,100
149.254.197.6,149.254.197.235,46402,100
149.254.197.6,149.254.197.15,4891,100
149.254.197.6,149.254.197.39,27618,100
149.254.197.6,149.254.197.66,53144,100
149.254.197.6,149.254.197.20,47800,100
149.254.197.6,149.254.197.79,52916,100
149.254.197.6,149.254.197.61,18027,100
149.254.197.6,149.254.197.211,38131,100
149.254.197.6,149.254.197.56,53919,100
149.254.197.6,149.254.197.50,49441,100
149.254.197.6,149.254.197.36,59891,100
149.254.197.6,149.254.197.230,52876,100
149.254.197.6,149.254.197.206,6517,100
149.254.197.6,149.254.197.231,15416,100
149.254.197.6,149.254.197.147,12763,100
149.254.197.6,149.254.197.176,46838,100
149.254.197.6,149.254.197.67,20633,100
149.254.197.6,149.254.197.26,35598,100
149.254.197.6,149.254.197.192,15469,100
149.254.197.6,149.254.197.89,32171,100
149.254.197.6,149.254.197.62,53611,100
149.254.197.6,149.254.197.8,4251,100
149.254.197.6,149.254.197.198,3679,100
149.254.197.6,149.254.197.38,35487,100
149.254.197.6,149.254.197.112,25715,100
149.254.197.6,149.254.197.68,15219,100
149.254.197.6,149.254.197.145,58187,100
149.254.197.6,149.254.197.226,14501,100
149.254.197.6,149.254.197.98,44057,100
149.254.197.6,149.254.197.155,61126,100
149.254.197.6,149.254.197.50,56952,100
149.254.197.6,149.254.197.99,44256,100
149.254.197.6,149.254.197.139,43661,100
149.254.197.6,149.254.197.195,21557,100
149.254.197.6,149.254.197.149,3898,100
149.254.197.6,149.254.197.62,45742,100
149.254.197.6,149.254.197.211,49770,100
149.254.197.6,149.254.197.182,54490,100
149.254.197.6,149.254.197.16,2799,100
149.254.197.6,149.254.197.224,12095,100
149.254.197.6,149.254.197.134,35573,100
149.254.197.6,149.254.197.247,55927,100
149.254.197.6,149.254.197.11,13564,100
149.254.197.6,149.254.197.158,28035,100
149.254.197.6,149.254.197.90,20637,100
149.254.197.6,149.254.197.206,1674,100
149.254.197.6,149.254.197.125,13299,100
149.254.197.6,149.254.197.75,63613,100
149.254.197.6,149.254.197.61,23400,100
149.254.197.6,149.254.197.195,52998,100
149.254.197.6,149.254.197.125,42793,100
149.254.197.6,149.254.197.192,16545,100
149.254.197.6,149.254.197.246,22267,100
149.254.197.6,149.254.197.35,61759,100
149.254.197.6,149.254.197.187,64579,100
149.254.197.6,149.254.197.71,7980,100
149.254.197.6,149.254.197.60,31769,100
149.254.197.6,149.254.197.82,8567,100
149.254.197.6,149.254.197.102,35723,100
149.254.197.6,149.254.197.196,36994,100
149.254.197.6,149.254.197.186,1168,100
149.254.197.6,149.254.197.97,8201,100
149.254.197.6,149.254.197.31,34588,100
149.254.197.6,149.254.197.32,10615,100
149.254.197.6,149.254.197.199,61484,100
149.254.197.6,149.254.197.38,27501,100
149.254.197.6,149.254.197.201,47792,100
149.254.197.6,149.254.197.184,47411,100
149.254.197.6,149.254.197.241,17765,100
149.254.197.6,149.254.197.211,10433,100
149.254.197.6,149.254.197.180,4940,100
149.254.197.6,149.254.197.116,17954,100
